amount,hour_of_day,day_of_week,transaction_count_1h,transaction_count_24h,distance_from_home,distance_from_last_transaction,is_foreign_transaction,is_online_transaction,merchant_category_encoded,card_type_encoded,device_type_encoded,is_fraud
1050.84,17,4,1,26,27.370259868309933,396.53103920931545,0,1,7,0,2,0
145.37,18,6,2,7,97.14423355334732,602.8188453194932,1,1,7,1,2,0
263.36,10,6,2,16,47.98620235705522,436.01586918742186,1,1,0,1,2,0
1271.0,22,6,3,23,51.18915173660671,851.5918688911668,0,1,3,1,0,0
1885.22,17,2,3,25,91.18084948812196,726.2850551732422,0,1,1,1,2,0
2954.44,14,0,3,15,53.62464904490446,313.710636795649,0,0,1,0,3,0
2091.24,14,5,1,26,69.92857143571372,231.22087697602402,0,0,2,0,2,0
2399.48,20,5,3,22,7.616079677300746,40.99461106179192,1,1,3,0,2,0
1974.42,8,3,3,25,95.81583009978425,682.4561378945965,1,0,0,1,3,0
2621.46,9,3,3,22,67.85513879038288,440.1602944643046,0,1,4,1,1,0
933.56,18,2,2,8,96.98635805167099,357.0572948530947,1,1,9,0,2,0
2882.62,18,1,2,22,79.63921214760188,166.47141574883673,0,1,8,1,1,0
2996.93,8,0,3,13,44.60688884620292,23.428918907084096,0,1,0,0,3,0
688.25,8,5,3,19,11.428166815994068,156.34504941193217,0,1,3,0,0,0
1066.01,13,4,3,8,77.11618763022481,908.464606225771,1,0,1,0,2,0
927.11,22,2,3,2,69.66429270229509,180.2368540820163,1,0,8,0,1,0
1801.94,19,1,1,21,17.76400885450532,687.2823070018211,1,0,8,1,1,0
1994.05,22,4,2,19,44.99690158666132,95.51468648302696,0,0,3,0,2,0
2372.12,8,3,3,24,17.032606025884654,179.41925693515637,1,0,6,0,0,0
508.13,17,2,2,20,57.479622266175745,270.21068295739803,0,1,1,0,0,0
1798.32,13,0,3,20,30.738734246419597,143.39354971725427,0,0,3,0,3,0
2064.58,20,6,2,27,54.08992833654903,637.7721469589467,0,0,9,0,2,0
2343.58,15,6,3,24,18.048740420642805,961.8084526013912,0,1,7,0,0,0
1193.33,10,4,2,7,68.25202632233388,939.2956917915317,0,1,1,1,1,0
786.39,20,6,2,23,29.237518096460125,272.96435956311325,0,0,6,0,2,0
847.24,13,0,1,18,6.108928081587228,554.6172894278395,1,0,2,1,1,0
2890.38,19,4,1,21,60.21768899050818,360.1433950090568,0,1,4,1,2,0
6790.46,2,1,17,26,1719.5274403986034,790.8341602406466,0,0,9,1,2,1
402.88,8,0,1,7,75.97430850552453,532.1298207198088,1,1,6,0,1,0
2367.67,22,3,1,22,61.02697119671031,293.11406742209255,1,1,2,1,3,0
712.33,13,1,3,24,52.85787659601861,879.9293308332649,1,0,1,0,2,0
1840.35,13,3,3,26,86.2581877078406,911.206822125656,0,1,1,1,2,0
2646.41,9,4,1,1,81.11888863611884,691.8613814860346,1,0,5,1,1,0
485.29,14,5,3,7,39.581284109327186,977.2437450716808,1,1,1,1,1,0
1303.86,14,2,3,6,3.687851489585048,606.3332540204628,0,0,2,1,2,0
277.04,17,5,1,7,5.412666586022219,430.1306132718328,0,0,5,0,1,0
139.93,16,3,1,4,24.724028510645024,768.8800210283321,0,0,8,0,2,0
757.03,22,4,3,4,74.79135999654122,235.37986460149597,0,0,4,0,0,0
251.98,13,3,2,23,59.01181278848038,79.22870752072053,1,0,7,1,0,0
1500.94,12,1,2,2,56.84747947718073,538.7012150009529,1,1,1,1,1,0
2075.63,8,0,1,11,99.511870532873,453.78851208914784,1,1,6,1,3,0
1797.76,9,0,3,16,75.81404999173984,679.2060652214038,1,0,0,0,0,0
1900.2,17,4,2,18,21.09686967687303,341.49959641192584,1,0,8,1,1,0
2428.5,15,1,3,26,61.381857389199254,433.4440819093749,1,0,5,1,1,0
1121.62,12,6,3,17,85.80156020303103,186.04139838595367,0,0,8,1,1,0
1522.46,22,3,3,15,41.77234539589401,365.0700509137348,1,0,8,1,2,0
1379.61,8,5,1,16,35.21907744414969,306.56290244558295,1,1,8,0,0,0
1748.97,12,3,2,7,69.48152488395877,938.972812746814,1,1,3,0,0,0
14.06,16,0,1,30,42.68026763251381,235.2392731455124,0,0,5,0,3,0
55.31,12,2,2,19,82.12918657722787,397.8472433598036,1,0,9,0,1,0
2712.15,14,4,1,13,82.33156642379754,249.78638141403343,1,0,3,1,1,0
2884.17,8,1,2,13,72.05509803036072,170.5893972213781,0,1,7,0,1,0
1810.17,18,1,1,23,66.36673875294399,588.8534983091922,1,1,5,1,3,0
1422.08,16,3,1,4,51.56484284506044,98.4467748329505,0,0,0,1,1,0
975.22,16,5,1,30,90.32801110075116,998.8025453795364,1,1,3,1,0,0
